      Wavelength,  spectrum,    dark current
      1.58084      5900.00      5683.74
      1.58102      5791.00      5573.74
      1.58121      5838.00      5605.74
      1.58139      5844.00      5596.74
      1.58158      5948.00      5708.74
      1.58176      5850.00      5605.74
      1.58194      5816.00      5620.74
      1.58213      5817.00      5597.74
      1.58231      5899.00      5717.74
      1.58250      5815.00      5583.74
      1.58268      6044.00      5734.74
      1.58286      6060.00      5745.74
      1.58305      5938.00      5604.74
      1.58323      5837.00      5506.74
      1.58341      6163.00      5730.74
      1.58360      6113.00      5683.74
      1.58378      6225.00      5759.74
      1.58396      6081.00      5573.74
      1.58415      6013.00      5527.74
      1.58433      6183.00      5696.74
      1.58451      6073.00      5624.74
      1.58470      5961.00      5585.74
      1.58488      6163.00      5786.74
      1.58506      5903.00      5547.74
      1.58525      6017.00      5654.74
      1.58543      6048.00      5736.74
      1.58561      5952.00      5642.74
      1.58580      5890.00      5634.74
      1.58598      6091.00      5819.74
      1.58616      5947.00      5699.74
      1.58635      5945.00      5722.74
      1.58653      5927.00      5707.74
      1.58671      5934.00      5717.74
      1.58689      5738.00      5587.74
      1.58708      5885.00      5729.74
      1.58726      5837.00      5683.74
      1.58744      5807.00      5669.74
      1.58763      5927.00      5800.74
      1.58781      5787.00      5663.74
      1.58799      5764.00      5673.74
      1.58817      5842.00      5788.74
      1.58836      5663.00      5584.74
      1.58854      5848.00      5767.74
      1.58872      5759.00      5682.74
      1.58891      5829.00      5718.74
      1.58909      5816.00      5740.74
      1.58927      5755.00      5712.74
      1.58945      5845.00      5775.74
      1.58964      5720.00      5629.74
      1.58982      5699.00      5638.74
      1.59000      5860.00      5822.74
      1.59018      5825.00      5779.74
      1.59036      5727.00      5640.74
      1.59055      5734.00      5720.74
      1.59073      5844.00      5785.74
      1.59091      5745.00      5651.74
      1.59109      5773.00      5710.74
      1.59128      5717.00      5660.74
      1.59146      5790.00      5766.74
      1.59164      5669.00      5617.74
      1.59182      5714.00      5639.74
      1.59200      5774.00      5735.74
      1.59219      5820.00      5798.74
      1.59237      5719.00      5676.74
      1.59255      5769.00      5705.74
      1.59273      5624.00      5595.74
      1.59291      5835.00      5795.74
      1.59310      5749.00      5716.74
      1.59328      5738.00      5719.74
      1.59346      5791.00      5787.74
      1.59364      5750.00      5724.74
      1.59382      5754.00      5699.74
      1.59401      5913.00      5858.74
      1.59419      5728.00      5714.74
      1.59437      5865.00      5845.74
      1.59455      5894.00      5873.74
      1.59473      5928.00      5878.74
      1.59491      5705.00      5674.74
      1.59509      5887.00      5861.74
      1.59528      5852.00      5812.74
      1.59546      5925.00      5868.74
      1.59564      5976.00      5948.74
      1.59582      5992.00      5951.74
      1.59600      5920.00      5921.74
      1.59618      5882.00      5830.74
      1.59636      5878.00      5842.74
      1.59655      6114.00      6067.74
      1.59673      5895.00      5843.74
      1.59691      5883.00      5824.74
      1.59709      5904.00      5841.74
      1.59727      6120.00      6047.74
      1.59745      6041.00      5966.74
      1.59763      6075.00      5967.74
      1.59781      6091.00      5977.74
      1.59799      6125.00      6055.74
      1.59818      5962.00      5882.74
      1.59836      6150.00      6088.74
      1.59854      6073.00      6037.74
      1.59872      6182.00      6111.74
      1.59890      6068.00      6038.74
      1.59908      6096.00      6064.74
      1.59926      5937.00      5921.74
      1.59944      6065.00      6043.74
      1.59962      5990.00      5979.74
      1.59980      6151.00      6124.74
      1.59998      5903.00      587
