#Datum: 21.01.2016 16:19:44
#Quelle: teflon_spacer

#Daten:
cm-1 %T
1445 90,0680299993112
1446 90,0224177530723
1447 89,972148097289
1448 89,914805356008
1449 89,8474446406803
1450 89,776233294944
1451 89,7078037712644
1452 89,6372303347356
1453 89,5618582292315
1454 89,4930233022385
1455 89,4402604764442
1456 89,3861058968363
1457 89,3005329068841
1458 89,1917397817107
1459 89,0947718787826
1460 89,0213307838505
1461 88,9640311967795
1462 88,9124694872786
1463 88,8609697837954
1464 88,8118203440697
1465 88,7739392779657
1466 88,7535973658533
1467 88,7452171441628
1468 88,7391894456787
1469 88,7308151606466
1470 88,7269925372322
1471 88,7390947340135
1472 88,7703360745866
1473 88,8119396822499
1474 88,8522365729809
1475 88,889612872948
1476 88,9321932107764
1477 88,9824799022338
1478 89,0351997069628
1479 89,088740351652
1480 89,1479450080189
1481 89,215305485051
1482 89,285407762931
1483 89,3548086466508
1484 89,4247302596318
1485 89,4961610794781
1486 89,5667579398012
1487 89,6403921456643
1488 89,7239554920868
1489 89,8157058575223
1490 89,9073576738825
1491 89,9917274180202
1492 90,070581266378
1493 90,1494024941897
1494 90,2320059114283
1495 90,3164281667647
1496 90,3928085498657
1497 90,4525199190188
1498 90,5025019519568
1499 90,5591143375198
1500 90,6289793203417
1501 90,7006073696681
1502 90,755610074509
1503 90,7921418226917
1504 90,8190042955336
1505 90,8318228972535
1506 90,8178405436998
1507 90,8038523241862
1508 90,820139568302
1509 90,8406143182164
1510 90,840535519208
1511 90,8221711916447
1512 90,7861255877201
1513 90,7283677521828
1514 90,652997707469
1515 90,5672634119154
1516 90,46778505694
1517 90,3481462949221
1518 90,2228887140785
1519 90,1166833096441
1520 90,027406378773
1521 89,9252049531078
1522 89,7956539759096
1523 89,6653376844322
1524 89,5616047317582
1525 89,4845179912529
1526 89,4187324201541
1527 89,3489696861412
1528 89,273257142283
1529 89,1982188014824
1530 89,12831895936
1531 89,0623562033704
1532 89,0001554930472
1533 88,9505930213589
1534 88,9237414800197
1535 88,912566895553
1536 88,8999339288864
1537 88,8818659758422
1538 88,8650996616049
1539 88,8529111539132
1540 88,8568513561826
1541 88,9032821299339
1542 88,9949793609384
1543 89,1106710855711
1544 89,2337382513379
1545 89,3526373287184
1546 89,4548911526026
1547 89,5400220400961
1548 89,6240174066128
1549 89,7205186449162
1550 89,8230840624434
1551 89,9139049120396
1552 89,9878216568596
1553 90,056912576719
1554 90,1245375230672
1555 90,1772575260592
1556 90,2085017031628
1557 90,2224213005276
1558 90,2173359691859
1559 90,2119192689415
1560 90,2683417309442
1561 90,3774616945894
1562 90,459832199856
1563 90,4983177746088
1564 90,5145556331519
1565 90,520206272383
1566 90,5192213484288
1567 90,509600732095
1568 90,4822982623291
1569 90,4323953859428
1570 90,3759461917255
1571 90,3380717583757
1572 90,3185583797444
1573 90,2991539975737
1574 90,2711449759756
1575 90,2273857061256
1576 90,1645664049768
1577 90,0994392937871
1578 90,0469134068647
1579 90,0036183309361
1580 89,9653199759747
1581 89,9279746681038
1582 89,8839904477826
1583 89,8341528699107
1584 89,7855604422403
1585 89,7401279677111
1586 89,6935502890212
1587 89,6458904617185
1588 89,5997426063478
1589 89,5554838506726
1590 89,5148011667455
1591 89,4805646314385
1592 89,4540856887835
1593 89,4325046949844
1594 89,4127551987649
1595 89,3958351414184
1596 89,3844924425216
1597 89,3788170984762
1598 89,3777318609613
1599 89,3822748853944
1600 89,3937136312394
1601 89,4102706934954
1602 89,4290473677744
1603 89,4500992852481
1604 89,4744959584485
1605 89,5012789242592
1606 89,5297534080476
1607 89,5621624519114
1608 89,6009745474571
1609 89,6431045066969
1610 89,6877053962103
1611 89,738855102691
1612 89,7951241993551
1613 89,8481700505641
1614 89,8942593666314
1615 89,937813286908
1616 89,9823505545474
1617 90,0341982302584
1618 90,101545388297
1619 90,1794347393166
1620 90,2569794491152
1621 90,3271421681356
1622 90,3818482042586
1623 90,4225106166223
1624 90,4679310425236
1625 90,5289943424179
1626 90,595899814404
1627 90,6562611751558
1628 90,7089896387074
1629 90,7591179691632
1630 90,8080569698224
1631 90,8489553913365
1632 90,8724353423613
1633 90,8740294780277
1634 90,8495859940002
1635 90,7959207956728
1636 90,7333737908458
1637 90,6990136225536
1638 90,6929556038246
1639 90,691840044824
1640 90,6810017901442
1641 90,6484114633481
1642 90,5886664621873
1643 90,5096839587384
1644 90,4245369951224
1645 90,332004702981
1646 90,2252511776525
1647 90,1140491363714
1648 90,0145322921124
1649 89,9272571655518
1650 89,8509738387966
1651 89,7922767059629
1652 89,7455310803606
1653 89,6945707703377
1654 89,6617786883842
1655 89,6495148818174
1656 89,6242076901337
1657 89,5944582841086
1658 89,5751845400089
1659 89,5570586744867
1660 89,5348183668808
1661 89,5158554193744
1662 89,5097448457512
1663 89,5216845316224
1664 89,5519772224464
1665 89,5898557247063
1666 89,6253257105
1667 89,6578792384443
1668 89,6900100404043
1669 89,7257208471736
1670 89,7719567382263
1671 89,833593645727
1672 89,9048449334741
1673 89,9772687989473
1674 90,0500824343405
1675 90,123204278042
1676 90,1992819610039
1677 90,2780308848116
1678 90,356083834171
1679 90,4329982884716
1680 90,5020679778138
1681 90,5537284796583
1682 90,5879697516627
1683 90,6078741865957
1684 90,6098409349918
1685 90,6130994663682
1686 90,6411756136878
1687 90,6801889565902
1688 90,7116945295414
1689 90,7323405031182
1690 90,7368399021047
1691 90,7270309172423
1692 90,7145132066463
1693 90,7092475830347
1694 90,7132302149975
1695 90,7065568617984
1696 90,6681066852728
1697 90,6074424955324
1698 90,5531017240567
1699 90,5225816384118
1700 90,5032429671078
1701 90,4863093924726
1702 90,4751856605825
1703 90,4612204932019
1704 90,4452801868623
1705 90,4306251325233
1706 90,4123761657162
1707 90,396931142433
1708 90,3907741246674
1709 90,3880917437704
1710 90,3770007039476
1711 90,3528922710298
1712 90,3200790405335
1713 90,2820691729756
1714 90,2427689859648
1715 90,2082885198276
1716 90,1832791172758
1717 90,1665195899098
1718 90,1506187473059
1719 90,1287195762194
1720 90,1011590598377
1721 90,0775188534161
1722 90,0659599554778
1723 90,061143458176
1724 90,051617526817
1725 90,0333969158078
1726 90,0125900246215
1727 89,9947803350306
1728 89,9828760800732
1729 89,9749113739614
1730 89,9639442640748
1731 89,951317790593
1732 89,9461036798725
1733 89,9496315051698
1734 89,9518243035369
1735 89,9481209362482
1736 89,9404127001392
1737 89,9323203452545
1738 89,93254612503
1739 89,9407644080676
1740 89,9520470071265
1741 89,9750025106147
1742 90,0206355606402
1743 90,0814702053153
1744 90,1388267260295
1745 90,1830507547477
1746 90,2184998248526
1747 90,2536022449213
1748 90,2968252300793
1749 90,3565819221238
1750 90,4352129109239
1751 90,5215995888402
1752 90,5920024018204
1753 90,6369780465879
1754 90,6721060654407
1755 90,7155796891236
1756 90,7656187324032
1757 90,805172361377
1758 90,826629347315
1759 90,8390722012437
1760 90,8514238550148
1761 90,8592102563876
1762 90,8561812993036
1763 90,8406761204733
1764 90,8155256372296
1765 90,7879263153556
1766 90,7653762118857
1767 90,7446160562612
1768 90,7080698230912
1769 90,6421813297682
1770 90,5556046062533
1771 90,4702425787354
1772 90,3994075532334
1773 90,3460057563736
1774 90,3036662704546
1775 90,2616525311652
1776 90,216738624553
1777 90,1699008295229
1778 90,1206687416632
1779 90,0708166217944
1780 90,0222318220382
1781 89,974663800348
1782 89,931767755235
1783 89,8990261978544
1784 89,8799633121379
1785 89,8676155959284
1786 89,8497079151295
1787 89,8231427137956
1788 89,7944693009321
1789 89,7741734887512
1790 89,7676825662572
1791 89,7716681821846
1792 89,7798397627109
1793 89,7913578060274
1794 89,8104617630498
1795 89,8383174249234
1796 89,8728457734501
1797 89,9089501549592
1798 89,941478005646
1799 89,9732982087724
1800 90,0133413709821
1801 90,0650942533291
1802 90,1202430243074
1803 90,1663218008716
1804 90,201979854783
1805 90,2348403279062
1806 90,2701247533905
1807 90,3066051583022
1808 90,3391131138067
1809 90,3663858430432
1810 90,3925128499435
1811 90,4219095647062
1812 90,4536673906873
1813 90,4830243730894
1814 90,5079690215257
1815 90,5307204327559
1816 90,5549677113378
1817 90,5792006035686
1818 90,597755084784
1819 90,6098095454443
1820 90,6194101522079
1821 90,6310734490489
1822 90,6456662766616
1823 90,6619316657954
1824 90,6782371814011
1825 90,6889763462624
1826 90,6876444414986
1827 90,6753123410201
1828 90,6619557886702
1829 90,6567237585024
1830 90,6606094033316
1831 90,6699776363764
1832 90,6805310084068
1833 90,6887406410862
1834 90,6907311002203
1835 90,6839003574036
1836 90,6685562873523
1837 90,647384422928
1838 90,6236256668304
1839 90,5967859514473
1840 90,5626596012175
1841 90,5217917119279
1842 90,4818014928308
1843 90,448788827782
1844 90,4197814561272
1845 90,386177819253
1846 90,3449981414816
1847 90,3005665105163
1848 90,2571849284806
1849 90,2130361484963
1850 90,1640969727621
1851 90,1126655483591
1852 90,0650169888444
1853 90,023945111031
1854 89,9859777214274
1855 89,948954705503
1856 89,9143368006524
1857 89,8841177193742
1858 89,8598890571547
1859 89,8409544763536
1860 89,8259982551634
1861 89,8142445143693
1862 89,8056679391067
1863 89,8007149457076
1864 89,8000473732394
1865 89,8042086052789
1866 89,8132704145951
1867 89,8276298127967
1868 89,8493841347993
1869 89,8816993840791
1870 89,9253373488484
1871 89,9767979450957
1872 90,0321000984253
1873 90,089821949247
1874 90,14910835732
1875 90,2088269123206
1876 90,2689617773258
1877 90,3303061680047
1878 90,3928114273194
1879 90,4553642324497
1880 90,5171033245824
1881 90,5763248768537
1882 90,629905019734
1883 90,6768446433146
1884 90,7182089356165
1885 90,7535484955654
1886 90,7819503384794
1887 90,8046692153859
1888 90,823754580579
1889 90,837817720827
1890 90,8424198435441
1891 90,8363204128373
1892 90,823152073316
1893 90,8058446503564
1894 90,7830278213204
1895 90,7522801271399
1896 90,7140291746973
1897 90,670926268911
1898 90,6251584088704
1899 90,5773636706051
1900 90,5263678353599
1901 90,470675655903
1902 90,4098172086402
1903 90,3461664679004
1904 90,2834880001138
1905 90,2230255731429
1906 90,1642536229364
1907 90,1070664393845
1908 90,0515697638125
1909 89,9984688498303
1910 89,9472996554216
1911 89,8980186518218
1912 89,853123679895
1913 89,8142163995568
1914 89,7810452140662
1915 89,7527547865572
1916 89,7302756110486
1917 89,7146541885684
1918 89,703060387341
1919 89,6916508406975
1920 89,6819709905913
1921 89,6813467770859
1922 89,6935734515834
1923 89,7125465585971
1924 89,7293174529987
1925 89,7431120586639
1926 89,7604980024946
1927 89,7854303773575
1928 89,8149130793848
1929 89,8455906799274
1930 89,8767876457598
1931 89,9087746067288
1932 89,9414235403903
1933 89,9734559592988
1934 90,0046917854451
1935 90,0350713246746
1936 90,0651127957674
1937 90,0957299447675
1938 90,1266830136674
1939 90,1579704964704
1940 90,1908720310077
1941 90,2259628364538
1942 90,2603789282732
