      Wavelength,  spectrum,    dark current
      1.58982      5707.00      5651.47
      1.59000      5763.00      5714.47
      1.59018      5710.00      5686.47
      1.59036      5762.00      5709.47
      1.59055      5692.00      5642.47
      1.59073      5774.00      5741.47
      1.59091      5724.00      5677.47
      1.59109      5730.00      5689.47
      1.59128      5676.00      5668.47
      1.59146      5741.00      5744.47
      1.59164      5690.00      5680.47
      1.59182      5666.00      5671.47
      1.59200      5727.00      5689.47
      1.59219      5795.00      5771.47
      1.59237      5663.00      5626.47
      1.59255      5720.00      5685.47
      1.59273      5677.00      5682.47
      1.59291      5795.00      5786.47
      1.59310      5720.00      5715.47
      1.59328      5748.00      5772.47
      1.59346      5711.00      5728.47
      1.59364      5712.00      5710.47
      1.59382      5750.00      5743.47
      1.59401      5867.00      5908.47
      1.59419      5719.00      5734.47
      1.59437      5818.00      5824.47
      1.59455      5825.00      5840.47
      1.59473      5866.00      5849.47
      1.59491      5706.00      5729.47
      1.59509      5861.00      5873.47
      1.59528      5839.00      5836.47
      1.59546      5896.00      5901.47
      1.59564      5877.00      5859.47
      1.59582      5914.00      5929.47
      1.59600      5872.00      5886.47
      1.59618      5902.00      5892.47
      1.59636      5867.00      5853.47
      1.59655      5957.00      5965.47
      1.59673      5861.00      5854.47
      1.59691      5906.00      5891.47
      1.59709      5903.00      5867.47
      1.59727      6112.00      6065.47
      1.59745      6002.00      5989.47
      1.59763      6029.00      5983.47
      1.59781      5998.00      5990.47
      1.59799      6045.00      5995.47
      1.59818      5958.00      5943.47
      1.59836      6096.00      6088.47
      1.59854      6031.00      6061.47
      1.59872      6046.00      6081.47
      1.59890      6013.00      6022.47
      1.59908      6044.00      6040.47
      1.59926      5895.00      5927.47
      1.59944      6049.00      6069.47
      1.59962      5970.00      5995.47
      1.59980      6015.00      6041.47
      1.59998      5926.00      597
